"","date","hours","low","high","volume","fluctuation"
"1","2021-01-23","1~2",35449044,35985748,14138627367,21.8405678912269
"2","2021-01-23","3~4",36053155,36884065,17712366593,33.8129513968581
"3","2021-01-23","5~6",36856325,37293348,16678817295,17.7841612910052
"4","2021-01-23","7~8",36163640,36890371,21636299823,29.5735037267455
"5","2021-01-23","9~10",35837458,36479119,22590833531,26.1116753995732
"6","2021-01-23","11~12",35930396,36423027,14557254957,20.047066541004
"7","2021-01-23","13~14",35973899,36601078,17591568309,25.5223466369764
"8","2021-01-23","15~16",36344953,36821891,16369725348,19.4084574903596
"9","2021-01-23","17~18",36066594,36489511,15536273204,17.210133427092
"10","2021-01-23","19~20",35075846,36019543,31351366001,38.4026919815152
"11","2021-01-23","21~22",34835976,35626296,22402113987,32.1611868288562
"12","2021-01-23","23~24",35225861,35623648,14277807802,16.1874962358161
"25","2021-01-25","1~2",34470970,35166283,270877655322,18.9084690028464
"26","2021-01-25","3~4",34572930,34981666,12049735897,11.1152416053596
"27","2021-01-25","5~6",34773061,35211041,10960617860,11.9105082946337
"28","2021-01-25","7~8",35178902,35617515,17763458655,11.9277222125079
"29","2021-01-25","9~10",35521903,36022237,25056784207,13.6061743848744
"30","2021-01-25","11~12",35833755,36523574,24821355079,18.7590641611397
"31","2021-01-25","13~14",36487968,36888918,23738545897,10.9035076960898
"32","2021-01-25","15~16",36408553,36748053,15529059880,9.23242514733129
"33","2021-01-25","17~18",36393092,36836874,15598183768,12.0682889447216
"34","2021-01-25","19~20",36218404,36536537,13816069294,8.65136703798511
"35","2021-01-25","21~22",36867225,37845302,37255225505,26.5980049803427
"36","2021-01-25","23~24",37645907,38148227,28857145598,13.6601820324225
"37","2021-01-26","1~2",37144770,37813183,19789549396,23.2289648854665
"38","2021-01-26","3~4",37101913,37453836,12798384222,12.2301735744039
"39","2021-01-26","5~6",36348931,37079989,22209078197,25.406029821741
"40","2021-01-26","7~8",35871021,36473719,24889813853,20.9452100401112
"41","2021-01-26","9~10",35796504,36495060,25763999578,24.2765068820204
"42","2021-01-26","11~12",35569817,36231336,24035952023,22.9893817476155
"43","2021-01-26","13~14",35313068,35860807,18623615104,19.0352521530858
"44","2021-01-26","15~16",34982651,35518374,20850674462,18.6176671538955
"45","2021-01-26","17~18",35177952,35645192,16284762425,16.2377176283007
"46","2021-01-26","19~20",35461397,36078230,19866402326,21.4364354032566
"47","2021-01-26","21~22",35224905,35777620,18433323702,19.2081801620714
"48","2021-01-26","23~24",34935685,35695425,20645046440,26.4027985423448
"49","2021-01-27","1~2",35401999,35967144,18384867252,18.9384965083357
"50","2021-01-27","3~4",35614031,35946650,11527482887,11.1463496449692
"51","2021-01-27","5~6",35420619,35842841,8790098758,14.1490234767051
"52","2021-01-27","7~8",35714532,36250687,15294189784,17.9670165982654
"53","2021-01-27","9~10",35478169,35981835,16282457553,16.8782821795599
"54","2021-01-27","11~12",35397650,35681626,12901922728,9.51628074998651
"55","2021-01-27","13~14",35115074,35548147,14902696150,14.5126498480115
"56","2021-01-27","15~16",35122079,35424077,12814437226,10.1202135178129
"57","2021-01-27","17~18",34713877,35248702,23168159548,17.9224471508562
"58","2021-01-27","19~20",34609268,35174854,18509994086,18.9532747987924
"59","2021-01-27","21~22",34123171,34684925,22801307239,18.8248611728735
"60","2021-01-27","23~24",33266580,34320221,36766760480,35.3084189005287
"85","2021-01-30","1~2",38785419,39766761,25217861651,32.1252112699571
