"","strange_date"
"1","2021-01-25"
"2","2021-02-28"
"3","2021-03-09"
"4","2021-03-03"
"5","2021-03-18"
"6","2021-02-27"
"7","2021-03-07"
"8","2021-02-09"
"9","2021-02-26"
"10","2021-02-27"
"11","2021-02-28"
"12","2021-03-01"
"13","2021-03-03"
"14","2021-03-06"
"15","2021-03-02"
"16","2021-03-05"
"17","2021-02-28"
"18","2021-03-01"
"19","2021-03-02"
"20","2021-03-03"
"21","2021-03-08"
"22","2021-02-25"
"23","2021-02-27"
"24","2021-03-01"
"25","2021-03-03"
"26","2021-03-07"
"27","2021-03-09"
"28","2021-02-25"
"29","2021-02-26"
"30","2021-03-15"
"31","2021-01-29"
"32","2021-02-23"
"33","2021-03-04"
"34","2021-02-22"
"35","2021-02-23"
"36","2021-03-08"
"37","2021-02-08"
"38","2021-02-22"
"39","2021-03-05"
"40","2021-02-08"
"41","2021-02-22"
"42","2021-03-05"
"43","2021-03-08"
