"","일자","기준가격(원/g)","매입가격(원/g)(고객이 금을 사실 때)","매도가격(원/g)(고객이 금을 파실 때)","금가격(USD/트로이온즈)","원달러환율(원/USD)"
"1","2021.03.18","62,720.58","63,347.78","62,093.38","1,733.29","1,125.50"
"2","2021.03.17","62,959.55","63,589.14","62,329.96","1,734.50","1,129.00"
"3","2021.03.16","63,041.14","63,671.55","62,410.73","1,732.15","1,132.00"
"4","2021.03.15","62,993.92","63,623.85","62,363.99","1,727.80","1,134.00"
"5","2021.03.12","62,383.56","63,007.39","61,759.73","1,707.29","1,136.50"
"6","2021.03.11","63,245.26","63,877.71","62,612.81","1,739.29","1,131.00"
"7","2021.03.10","62,948.12","63,577.60","62,318.64","1,715.20","1,141.50"
"8","2021.03.09","62,268.29","62,890.97","61,645.61","1,701.89","1,138.00"
"9","2021.03.08","61,854.21","62,472.75","61,235.67","1,695.04","1,135.00"
"10","2021.03.05","61,414.88","62,029.02","60,800.74","1,691.95","1,129.00"
"11","2021.03.04","61,983.54","62,603.37","61,363.71","1,714.45","1,124.50"
"12","2021.03.03","62,287.81","62,910.68","61,664.94","1,725.93","1,122.50"
"13","2021.03.02","62,190.70","62,812.60","61,568.80","1,720.94","1,124.00"
"14","2021.02.26","63,809.03","64,447.12","63,170.94","1,767.30","1,123.00"
"15","2021.02.25","63,751.61","64,389.12","63,114.10","1,788.00","1,109.00"
"16","2021.02.24","64,365.44","65,009.09","63,721.79","1,806.84","1,108.00"
"17","2021.02.23","64,715.46","65,362.61","64,068.31","1,810.95","1,111.50"
"18","2021.02.22","64,290.11","64,933.01","63,647.21","1,793.40","1,115.00"
"19","2021.02.19","62,977.42","63,607.19","62,347.65","1,775.09","1,103.50"
"20","2021.02.18","63,636.64","64,273.00","63,000.28","1,788.00","1,107.00"
"21","2021.02.17","63,580.93","64,216.73","62,945.13","1,788.05","1,106.00"
"22","2021.02.16","64,587.50","65,233.37","63,941.63","1,822.95","1,102.00"
"23","2021.02.15","64,473.25","65,117.98","63,828.52","1,818.90","1,102.50"
"24","2021.02.10","65,580.44","66,236.24","64,924.64","1,845.95","1,105.00"
"25","2021.02.09","66,121.76","66,782.97","65,460.55","1,844.49","1,115.00"
"26","2021.02.08","65,137.52","65,788.89","64,486.15","1,807.31","1,121.00"
"27","2021.02.05","65,280.14","65,932.94","64,627.34","1,808.04","1,123.00"
"28","2021.02.04","65,521.82","66,177.03","64,866.61","1,822.04","1,118.50"
"29","2021.02.03","65,813.32","66,471.45","65,155.19","1,835.89","1,115.00"
"30","2021.02.02","66,351.67","67,015.18","65,688.16","1,849.25","1,116.00"
"31","2021.02.01","67,019.14","67,689.33","66,348.95","1,862.84","1,119.00"
"32","2021.01.29","66,340.26","67,003.66","65,676.86","1,846.45","1,117.50"
"33","2021.01.28","66,154.85","66,816.39","65,493.31","1,838.00","1,119.50"
"34","2021.01.27","65,630.35","66,286.65","64,974.05","1,847.35","1,105.00"
"35","2021.01.26","65,977.41","66,637.18","65,317.64","1,855.44","1,106.00"
"36","2021.01.25","65,631.37","66,287.68","64,975.06","1,851.57","1,102.50"
"37","2021.01.22","66,157.13","66,818.70","65,495.56","1,862.18","1,105.00"
"38","2021.01.21","66,215.58","66,877.73","65,553.43","1,872.30","1,100.00"
"39","2021.01.20","65,700.29","66,357.29","65,043.29","1,855.20","1,101.50"
"40","2021.01.19","65,435.54","66,089.89","64,781.19","1,843.54","1,104.00"
"41","2021.01.18","65,291.61","65,944.52","64,638.70","1,834.50","1,107.00"
"42","2021.01.15","65,507.91","66,162.98","64,852.84","1,852.29","1,100.00"
"43","2021.01.14","65,085.92","65,736.77","64,435.07","1,844.55","1,097.50"
"44","2021.01.13","65,488.14","66,143.02","64,833.26","1,856.79","1,097.00"
"45","2021.01.12","65,538.63","66,194.01","64,883.25","1,854.84","1,099.00"
"46","2021.01.11","65,186.59","65,838.45","64,534.73","1,848.24","1,097.00"
"47","2021.01.08","66,311.37","66,974.48","65,648.26","1,888.74","1,092.00"
"48","2021.01.07","67,192.47","67,864.39","66,520.55","1,919.99","1,088.50"
"49","2021.01.06","68,284.61","68,967.45","67,601.77","1,953.89","1,087.00"
"50","2021.01.05","67,975.95","68,655.70","67,296.20","1,940.60","1,089.50"
"51","2021.01.04","67,298.54","67,971.52","66,625.56","1,931.90","1,083.50"
"52","2020.12.31","66,161.70","66,823.31","65,500.09","1,893.15","1,087.00"
"53","2020.12.30","65,670.99","66,327.69","65,014.29","1,878.24","1,087.50"
"54","2020.12.29","66,125.20","66,786.45","65,463.95","1,879.14","1,094.50"
"55","2020.12.28","66,415.42","67,079.57","65,751.27","1,883.94","1,096.50"
"56","2020.12.24","66,603.44","67,269.47","65,937.41","1,878.14","1,103.00"
"57","2020.12.23","66,508.64","67,173.72","65,843.56","1,868.69","1,107.00"
"58","2020.12.22","66,648.91","67,315.39","65,982.43","1,871.79","1,107.50"
"59","2020.12.21","67,299.18","67,972.17","66,626.19","1,896.04","1,104.00"
"60","2020.12.18","66,314.95","66,978.09","65,651.81","1,877.67","1,098.50"
"61","2020.12.17","66,091.85","66,752.76","65,430.94","1,879.91","1,093.50"
"62","2020.12.16","65,267.52","65,920.19","64,614.85","1,861.57","1,090.50"
"63","2020.12.15","64,971.35","65,621.06","64,321.64","1,846.35","1,094.50"
"64","2020.12.14","64,071.08","64,711.79","63,430.37","1,826.61","1,091.00"
"65","2020.12.11","64,334.76","64,978.10","63,691.42","1,832.44","1,092.00"
"66","2020.12.10","64,163.27","64,804.90","63,521.64","1,832.59","1,089.00"
"67","2020.12.09","65,053.07","65,703.60","64,402.54","1,864.00","1,085.50"
"68","2020.12.08","65,049.27","65,699.76","64,398.78","1,864.75","1,085.00"
"69","2020.12.07","63,833.05","64,471.38","63,194.72","1,828.20","1,086.00"
"70","2020.12.04","64,158.11","64,799.69","63,516.53","1,840.90","1,084.00"
"71","2020.12.03","64,764.01","65,411.65","64,116.37","1,841.30","1,094.00"
"72","2020.12.02","64,710.55","65,357.65","64,063.45","1,825.59","1,102.50"
"73","2020.12.01","63,945.61","64,585.06","63,306.16","1,794.25","1,108.50"
"74","2020.11.30","63,274.07","63,906.81","62,641.33","1,777.81","1,107.00"
"75","2020.11.27","64,285.49","64,928.34","63,642.64","1,809.50","1,105.00"
"76","2020.11.26","64,612.89","65,259.01","63,966.77","1,816.25","1,106.50"
"77","2020.11.25","64,521.65","65,166.86","63,876.44","1,812.05","1,107.50"
"78","2020.11.24","65,216.96","65,869.12","64,564.80","1,827.45","1,110.00"
"79","2020.11.23","66,914.61","67,583.75","66,245.47","1,871.65","1,112.00"
"80","2020.11.20","67,104.06","67,775.10","66,433.02","1,869.38","1,116.50"
"81","2020.11.19","66,718.42","67,385.60","66,051.24","1,856.14","1,118.00"
"82","2020.11.18","66,833.12","67,501.45","66,164.79","1,883.77","1,103.50"
"83","2020.11.17","67,216.81","67,888.97","66,544.65","1,890.30","1,106.00"
"84","2020.11.16","67,396.82","68,070.78","66,722.86","1,893.65","1,107.00"
"85","2020.11.13","67,301.44","67,974.45","66,628.43","1,879.93","1,113.50"
"86","2020.11.12","66,976.47","67,646.23","66,306.71","1,867.50","1,115.50"
"87","2020.11.11","67,185.91","67,857.76","66,514.06","1,877.55","1,113.00"
"88","2020.11.10","67,670.58","68,347.28","66,993.88","1,887.70","1,115.00"
"89","2020.11.09","70,254.27","70,956.81","69,551.73","1,958.89","1,115.50"
"90","2020.11.06","70,139.34","70,840.73","69,437.95","1,946.09","1,121.00"
"91","2020.11.05","69,488.24","70,183.12","68,793.36","1,917.76","1,127.00"
"92","2020.11.04","69,599.81","70,295.80","68,903.82","1,892.30","1,144.00"
"93","2020.11.03","69,076.36","69,767.12","68,385.60","1,895.46","1,133.50"
"94","2020.11.02","68,752.29","69,439.81","68,064.77","1,883.25","1,135.50"
"95","2020.10.30","68,236.90","68,919.26","67,554.54","1,870.78","1,134.50"
"96","2020.10.29","68,434.14","69,118.48","67,749.80","1,877.84","1,133.50"
"97","2020.10.28","69,312.88","70,006.00","68,619.76","1,901.95","1,133.50"
"98","2020.10.27","68,915.11","69,604.26","68,225.96","1,901.10","1,127.50"
"99","2020.10.26","69,049.08","69,739.57","68,358.59","1,899.74","1,130.50"
"100","2020.10.23","69,305.47","69,998.52","68,612.42","1,911.02","1,128.00"
"101","2020.10.22","69,853.12","70,551.65","69,154.59","1,914.25","1,135.00"
"102","2020.10.21","69,868.06","70,566.74","69,169.38","1,917.19","1,133.50"
"103","2020.10.20","69,703.38","70,400.41","69,006.35","1,902.60","1,139.50"
"104","2020.10.19","70,098.87","70,799.85","69,397.89","1,911.72","1,140.50"
"105","2020.10.16","70,373.45","71,077.18","69,669.72","1,909.99","1,146.00"
"106","2020.10.15","69,955.73","70,655.28","69,256.18","1,895.35","1,148.00"
"107","2020.10.14","69,921.83","70,621.04","69,222.62","1,899.39","1,145.00"
"108","2020.10.13","70,834.01","71,542.35","70,125.67","1,922.49","1,146.00"
"109","2020.10.12","71,136.20","71,847.56","70,424.84","1,923.14","1,150.50"
"110","2020.10.08","70,160.33","70,861.93","69,458.73","1,893.47","1,152.50"
"111","2020.10.07","70,364.43","71,068.07","69,660.79","1,889.96","1,158.00"
"112","2020.10.06","71,333.59","72,046.92","70,620.26","1,909.39","1,162.00"
"113","2020.10.05","70,830.59","71,538.89","70,122.29","1,897.56","1,161.00"
"114","2020.09.29","70,698.22","71,405.20","69,991.24","1,881.06","1,169.00"
"115","2020.09.28","69,877.51","70,576.28","69,178.74","1,852.09","1,173.50"
"116","2020.09.25","70,509.98","71,215.07","69,804.89","1,871.25","1,172.00"
"117","2020.09.24","70,016.51","70,716.67","69,316.35","1,854.98","1,174.00"
"118","2020.09.23","70,280.30","70,983.10","69,577.50","1,880.39","1,162.50"
"119","2020.09.22","71,101.99","71,813.00","70,390.98","1,901.56","1,163.00"
"120","2020.09.21","72,409.97","73,134.06","71,685.88","1,936.54","1,163.00"
"121","2020.09.18","73,012.23","73,742.35","72,282.11","1,956.01","1,161.00"
"122","2020.09.17","73,341.74","74,075.15","72,608.33","1,944.74","1,173.00"
"123","2020.09.16","74,188.72","74,930.60","73,446.84","1,965.52","1,174.00"
"124","2020.09.15","74,530.98","75,276.28","73,785.68","1,965.38","1,179.50"
"125","2020.09.14","74,025.13","74,765.38","73,284.88","1,946.27","1,183.00"
"126","2020.09.11","74,231.21","74,973.52","73,488.90","1,945.11","1,187.00"
"127","2020.09.10","74,344.56","75,088.00","73,601.12","1,947.26","1,187.50"
"128","2020.09.09","73,802.32","74,540.34","73,064.30","1,932.24","1,188.00"
"129","2020.09.08","73,590.95","74,326.85","72,855.05","1,925.09","1,189.00"
"130","2020.09.07","73,750.91","74,488.41","73,013.41","1,930.90","1,188.00"
"131","2020.09.04","74,116.21","74,857.37","73,375.05","1,938.83","1,189.00"
"132","2020.09.03","74,044.78","74,785.22","73,304.34","1,936.96","1,189.00"
"133","2020.09.02","75,040.93","75,791.33","74,290.53","1,966.33","1,187.00"
"134","2020.09.01","75,735.93","76,493.28","74,978.58","1,988.73","1,184.50"
"135","2020.08.31","74,768.73","75,516.41","74,021.05","1,959.19","1,187.00"
"136","2020.08.28","74,502.47","75,247.49","73,757.45","1,957.16","1,184.00"
"137","2020.08.27","74,050.70","74,791.20","73,310.20","1,944.47","1,184.50"
"138","2020.08.26","73,392.54","74,126.46","72,658.62","1,923.94","1,186.50"
"139","2020.08.25","73,564.14","74,299.78","72,828.50","1,927.63","1,187.00"
"140","2020.08.24","74,442.26","75,186.68","73,697.84","1,949.00","1,188.00"
"141","2020.08.21","73,962.71","74,702.33","73,223.09","1,934.81","1,189.00"
"142","2020.08.20","73,842.44","74,580.86","73,104.02","1,934.11","1,187.50"
"143","2020.08.19","75,708.67","76,465.75","74,951.59","1,996.44","1,179.50"
"144","2020.08.18","76,488.42","77,253.30","75,723.54","2,008.48","1,184.50"
"145","2020.08.14","74,275.44","75,018.19","73,532.69","1,947.91","1,186.00"
"146","2020.08.13","73,582.79","74,318.61","72,846.97","1,933.00","1,184.00"
"147","2020.08.12","73,167.44","73,899.11","72,435.77","1,920.47","1,185.00"
"148","2020.08.11","75,723.17","76,480.40","74,965.94","1,987.55","1,185.00"
"149","2020.08.10","77,623.91","78,400.14","76,847.68","2,033.15","1,187.50"
"150","2020.08.07","78,550.80","79,336.30","77,765.30","2,060.90","1,185.50"
"151","2020.08.06","78,040.21","78,820.61","77,259.81","2,047.50","1,185.50"
"152","2020.08.05","77,688.31","78,465.19","76,911.43","2,034.84","1,187.50"
"153","2020.08.04","75,893.52","76,652.45","75,134.59","1,977.01","1,194.00"
"154","2020.08.03","75,774.97","76,532.71","75,017.23","1,973.09","1,194.50"
"155","2020.07.31","75,653.91","76,410.44","74,897.38","1,977.39","1,190.00"
"156","2020.07.30","75,067.62","75,818.29","74,316.95","1,952.22","1,196.00"
"157","2020.07.29","75,144.25","75,895.69","74,392.81","1,959.13","1,193.00"
"158","2020.07.28","74,330.10","75,073.40","73,586.80","1,927.40","1,199.50"
"159","2020.07.27","74,662.76","75,409.38","73,916.14","1,940.07","1,197.00"
"160","2020.07.24","73,275.59","74,008.34","72,542.84","1,894.53","1,203.00"
"161","2020.07.23","72,528.90","73,254.18","71,803.62","1,885.41","1,196.50"
"162","2020.07.22","71,193.23","71,905.16","70,481.30","1,848.37","1,198.00"
"163","2020.07.21","70,186.04","70,887.90","69,484.18","1,824.51","1,196.50"
"164","2020.07.20","70,075.41","70,776.16","69,374.66","1,811.04","1,203.50"
"165","2020.07.17","69,770.37","70,468.07","69,072.67","1,801.66","1,204.50"
"166","2020.07.16","69,891.51","70,590.42","69,192.60","1,804.78","1,204.50"
"167","2020.07.15","70,015.57","70,715.72","69,315.42","1,812.50","1,201.50"
"168","2020.07.14","69,838.94","70,537.32","69,140.56","1,801.93","1,205.50"
"169","2020.07.13","69,970.77","70,670.47","69,271.07","1,808.33","1,203.50"
"170","2020.07.10","69,739.32","70,436.71","69,041.93","1,805.35","1,201.50"
"171","2020.07.09","69,753.34","70,450.87","69,055.81","1,815.54","1,195.00"
"172","2020.07.08","69,173.22","69,864.95","68,481.49","1,799.68","1,195.50"
"173","2020.07.07","68,465.42","69,150.07","67,780.77","1,779.04","1,197.00"
"174","2020.07.06","68,276.20","68,958.96","67,593.44","1,777.09","1,195.00"
"175","2020.07.03","68,467.60","69,152.27","67,782.93","1,776.13","1,199.00"
"176","2020.07.02","68,329.62","69,012.91","67,646.33","1,771.07","1,200.00"
"177","2020.07.01","69,124.70","69,815.94","68,433.46","1,787.21","1,203.00"
"178","2020.06.30","68,587.81","69,273.68","67,901.94","1,772.59","1,203.50"
