"","date","hours","low","high","volume"
"1","2021-01-23","1~2",35449044,35985748,14138627367
"2","2021-01-23","3~4",36053155,36884065,17712366593
"3","2021-01-23","5~6",36856325,37293348,16678817295
"4","2021-01-23","7~8",36163640,36890371,21636299823
"5","2021-01-23","9~10",35837458,36479119,22590833531
"6","2021-01-23","11~12",35930396,36423027,14557254957
"7","2021-01-23","13~14",35973899,36601078,17591568309
"8","2021-01-23","15~16",36344953,36821891,16369725348
"9","2021-01-23","17~18",36066594,36489511,15536273204
"10","2021-01-23","19~20",35075846,36019543,31351366001
"11","2021-01-23","21~22",34835976,35626296,22402113987
"12","2021-01-23","23~24",35225861,35623648,14277807802
"13","2021-01-24","1~2",35482354,35872946,12018089435
"14","2021-01-24","3~4",35480118,35840783,7430114339
"15","2021-01-24","5~6",35304959,35739370,7659484147
"16","2021-01-24","7~8",35369317,35658661,8626989709
"17","2021-01-24","9~10",35144209,35439419,10939994527
"18","2021-01-24","11~12",35195239,35628775,14106194628
"19","2021-01-24","13~14",35751852,36231651,24124060199
"20","2021-01-24","15~16",35772018,36106041,13669375870
"21","2021-01-24","17~18",35756857,36041557,13364021767
"22","2021-01-24","19~20",35730667,35971634,14863260492
"23","2021-01-24","21~22",35254376,35798210,21329866565
"24","2021-01-24","23~24",35121729,35429284,13285543138
"25","2021-01-25","1~2",34470970,35166283,270877655322
"26","2021-01-25","3~4",34572930,34981666,12049735897
"27","2021-01-25","5~6",34773061,35211041,10960617860
"28","2021-01-25","7~8",35178902,35617515,17763458655
"29","2021-01-25","9~10",35521903,36022237,25056784207
"30","2021-01-25","11~12",35833755,36523574,24821355079
"31","2021-01-25","13~14",36487968,36888918,23738545897
"32","2021-01-25","15~16",36408553,36748053,15529059880
"33","2021-01-25","17~18",36393092,36836874,15598183768
"34","2021-01-25","19~20",36218404,36536537,13816069294
"35","2021-01-25","21~22",36867225,37845302,37255225505
"36","2021-01-25","23~24",37645907,38148227,28857145598
"37","2021-01-26","1~2",37144770,37813183,19789549396
"38","2021-01-26","3~4",37101913,37453836,12798384222
"39","2021-01-26","5~6",36348931,37079989,22209078197
"40","2021-01-26","7~8",35871021,36473719,24889813853
"41","2021-01-26","9~10",35796504,36495060,25763999578
"42","2021-01-26","11~12",35569817,36231336,24035952023
"43","2021-01-26","13~14",35313068,35860807,18623615104
"44","2021-01-26","15~16",34982651,35518374,20850674462
