"","date","price"
"248","2020-03-18",60350
"247","2020-03-19",61010
"246","2020-03-20",60044
"245","2020-03-23",60678
"244","2020-03-24",63593
"243","2020-03-25",63557
"242","2020-03-26",63425
"241","2020-03-27",63497
"240","2020-03-30",63957
"239","2020-03-31",63374
"238","2020-04-01",63166
"237","2020-04-02",62697
"236","2020-04-03",63913
"235","2020-04-06",64698
"234","2020-04-07",64826
"233","2020-04-08",64814
"232","2020-04-09",65099
"231","2020-04-10",65932
"230","2020-04-13",66199
"229","2020-04-14",67142
"228","2020-04-16",67923
"227","2020-04-17",66348
"226","2020-04-20",65830
"225","2020-04-21",67090
"224","2020-04-22",67323
"223","2020-04-23",68244
"222","2020-04-24",68492
"221","2020-04-27",67921
"220","2020-04-28",66905
"219","2020-04-29",66822
"218","2020-05-04",67195
"217","2020-05-06",67039
"216","2020-05-07",66640
"215","2020-05-08",67483
"214","2020-05-11",67026
"213","2020-05-12",67150
"212","2020-05-13",67019
"211","2020-05-14",67723
"210","2020-05-15",68631
"209","2020-05-18",69890
"208","2020-05-19",68456
"207","2020-05-20",69229
"206","2020-05-21",68575
"205","2020-05-22",69302
"204","2020-05-25",69000
"203","2020-05-26",68409
"202","2020-05-27",67833
"201","2020-05-28",68586
"200","2020-05-29",68664
"199","2020-06-01",68458
"198","2020-06-02",68361
"197","2020-06-03",67201
"196","2020-06-04",66819
"195","2020-06-05",66444
"194","2020-06-08",65399
"193","2020-06-09",65744
"192","2020-06-10",65644
"191","2020-06-11",66581
"190","2020-06-12",67133
"189","2020-06-15",67196
"188","2020-06-16",67434
"187","2020-06-17",67101
"186","2020-06-18",67266
"185","2020-06-19",67169
"184","2020-06-22",68214
"183","2020-06-23",68263
"182","2020-06-24",68635
"181","2020-06-25",68303
"180","2020-06-26",68088
"179","2020-06-29",68368
"178","2020-06-30",68588
"177","2020-07-01",69125
"176","2020-07-02",68330
"175","2020-07-03",68468
"174","2020-07-06",68276
"173","2020-07-07",68465
"172","2020-07-08",69173
"171","2020-07-09",69753
"170","2020-07-10",69739
"169","2020-07-13",69971
"168","2020-07-14",69839
"167","2020-07-15",70016
"166","2020-07-16",69892
"165","2020-07-17",69770
"164","2020-07-20",70075
"163","2020-07-21",70186
"162","2020-07-22",71193
"161","2020-07-23",72529
"160","2020-07-24",73276
"159","2020-07-27",74663
"158","2020-07-28",74330
"157","2020-07-29",75144
"156","2020-07-30",75068
"155","2020-07-31",75654
"154","2020-08-03",75775
"153","2020-08-04",75894
"152","2020-08-05",77688
"151","2020-08-06",78040
"150","2020-08-07",78551
"149","2020-08-10",77624
"148","2020-08-11",75723
"147","2020-08-12",73167
"146","2020-08-13",73583
"145","2020-08-14",74275
"144","2020-08-18",76488
"143","2020-08-19",75709
"142","2020-08-20",73842
"141","2020-08-21",73963
"140","2020-08-24",74442
"139","2020-08-25",73564
"138","2020-08-26",73393
"137","2020-08-27",74051
"136","2020-08-28",74502
"135","2020-08-31",74769
"134","2020-09-01",75736
"133","2020-09-02",75041
"132","2020-09-03",74045
"131","2020-09-04",74116
"130","2020-09-07",73751
"129","2020-09-08",73591
"128","2020-09-09",73802
"127","2020-09-10",74345
"126","2020-09-11",74231
"125","2020-09-14",74025
"124","2020-09-15",74531
"123","2020-09-16",74189
"122","2020-09-17",73342
"121","2020-09-18",73012
"120","2020-09-21",72410
"119","2020-09-22",71102
"118","2020-09-23",70280
"117","2020-09-24",70017
"116","2020-09-25",70510
"115","2020-09-28",69878
"114","2020-09-29",70698
"113","2020-10-05",70831
"112","2020-10-06",71334
"111","2020-10-07",70364
"110","2020-10-08",70160
"109","2020-10-12",71136
"108","2020-10-13",70834
"107","2020-10-14",69922
"106","2020-10-15",69956
"105","2020-10-16",70373
"104","2020-10-19",70099
"103","2020-10-20",69703
"102","2020-10-21",69868
"101","2020-10-22",69853
"100","2020-10-23",69305
"99","2020-10-26",69049
"98","2020-10-27",68915
"97","2020-10-28",69313
"96","2020-10-29",68434
"95","2020-10-30",68237
"94","2020-11-02",68752
"93","2020-11-03",69076
"92","2020-11-04",69600
"91","2020-11-05",69488
"90","2020-11-06",70139
"89","2020-11-09",70254
"88","2020-11-10",67671
"87","2020-11-11",67186
"86","2020-11-12",66976
"85","2020-11-13",67301
"84","2020-11-16",67397
"83","2020-11-17",67217
"82","2020-11-18",66833
"81","2020-11-19",66718
"80","2020-11-20",67104
"79","2020-11-23",66915
"78","2020-11-24",65217
"77","2020-11-25",64522
"76","2020-11-26",64613
"75","2020-11-27",64285
"74","2020-11-30",63274
"73","2020-12-01",63946
"72","2020-12-02",64711
"71","2020-12-03",64764
"70","2020-12-04",64158
"69","2020-12-07",63833
"68","2020-12-08",65049
"67","2020-12-09",65053
"66","2020-12-10",64163
"65","2020-12-11",64335
"64","2020-12-14",64071
"63","2020-12-15",64971
"62","2020-12-16",65268
"61","2020-12-17",66092
"60","2020-12-18",66315
"59","2020-12-21",67299
"58","2020-12-22",66649
"57","2020-12-23",66509
"56","2020-12-24",66603
"55","2020-12-28",66415
"54","2020-12-29",66125
"53","2020-12-30",65671
"52","2020-12-31",66162
"51","2021-01-04",67299
"50","2021-01-05",67976
"49","2021-01-06",68285
"48","2021-01-07",67192
"47","2021-01-08",66311
"46","2021-01-11",65187
"45","2021-01-12",65539
"44","2021-01-13",65488
"43","2021-01-14",65086
"42","2021-01-15",65508
"41","2021-01-18",65292
"40","2021-01-19",65436
"39","2021-01-20",65700
"38","2021-01-21",66216
"37","2021-01-22",66157
"36","2021-01-25",65631
"35","2021-01-26",65977
"34","2021-01-27",65630
